id,ime,prezime,id_adresa, telefon
1, Mateo, Crljenica,  5, 099584132
2,  Ivan, Boljunćič, 3, 095684132
3,  Jusuf, Garipi,  2, 091784132
4,  Lana, Garić,  1, 099589932
5,  Lukas, Mirković,  1, 091491232
6,  Patrik, Kralj,  5, 0915841321
7,  Marko, Zahirović,  4, 098511132
8,  Nolan, Runovac, 5, 091534832
9,  Tomas, Mirković, 1, 099581234
10,  Božoidar, Trpić, 1, 09957989
11,  Marko, Filipović, 1, 099871123
12,  Filip, Božac, 4, 095098098
13,  Petar, Zecimir, 3, 0914567132
14,  Jakov, Pušić, 2, 099545132
15,  Jagoda, Mirzić, 2, 099500132
